N,Factor,Is Correct,Is Larger Factor,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000201,111133,0,0,23,23,11,47,39,88,0.034099579,1
1000201,111133,0,0,23,23,11,47,39,88,0.049297333,1
1000201,111133,0,0,23,23,11,47,39,88,0.041704178,1
1000201,111133,0,0,23,23,11,47,39,88,0.020360947,1
1000201,111133,0,0,23,23,11,47,39,88,0.045352936,1
1000201,111133,0,0,23,23,11,47,39,88,0.036123276,1
1000201,111133,0,0,23,23,11,47,39,88,0.032619476,1
1000201,111133,0,0,23,23,11,47,39,88,0.042243958,1
1000201,111133,0,0,23,23,11,47,39,88,0.031332016,1
1000201,111133,0,0,23,23,11,47,39,88,0.052501678,1
1000202,500101,1,1,23,23,11,47,0,0,0,1
1000202,500101,1,1,23,23,11,47,0,0,0,1
1000202,500101,1,1,23,23,11,47,0,0,0,1
1000202,500101,1,1,23,23,11,47,0,0,0,1
1000202,500101,1,1,23,23,11,47,0,0,0,1
1000202,500101,1,1,23,23,11,47,0,0,0,1
1000202,500101,1,1,23,23,11,47,0,0,0,1
1000202,500101,1,1,23,23,11,47,0,0,0.015697479,1
1000202,500101,1,1,23,23,11,47,0,0,0,1
1000202,500101,1,1,23,23,11,47,0,0,0,1
1000203,333401,1,1,23,23,11,47,0,0,0,1
1000203,333401,1,1,23,23,11,47,0,0,0,1
1000203,333401,1,1,23,23,11,47,0,0,0,1
1000203,333401,1,1,23,23,11,47,0,0,0.015626907,1
1000203,333401,1,1,23,23,11,47,0,0,0,1
1000203,333401,1,1,23,23,11,47,0,0,0,1
1000203,333401,1,1,23,23,11,47,0,0,0,1
1000203,333401,1,1,23,23,11,47,0,0,0,1
1000203,333401,1,1,23,23,11,47,0,0,0,1
1000203,333401,1,1,23,23,11,47,0,0,0,1
1000204,500102,1,1,23,23,11,47,0,0,0,1
1000204,500102,1,1,23,23,11,47,0,0,0,1
1000204,500102,1,1,23,23,11,47,0,0,0,1
1000204,500102,1,1,23,23,11,47,0,0,0,1
1000204,500102,1,1,23,23,11,47,0,0,0,1
1000204,500102,1,1,23,23,11,47,0,0,0,1
1000204,500102,1,1,23,23,11,47,0,0,0,1
1000204,500102,1,1,23,23,11,47,0,0,0,1
1000204,500102,1,1,23,23,11,47,0,0,0.015632629,1
1000204,500102,1,1,23,23,11,47,0,0,0,1
1000205,200041,1,1,23,23,11,47,1,11,0.033472061,1
1000205,200041,1,1,23,23,11,47,1,11,0.021442413,1
1000205,200041,1,1,23,23,11,47,1,11,0.023403168,1
1000205,200041,1,1,23,23,11,47,1,11,0.025039673,1
1000205,200041,1,1,23,23,11,47,1,11,0.023303986,1
1000205,200041,1,1,23,23,11,47,1,11,0.026500702,1
1000205,200041,1,1,23,23,11,47,1,11,0.057504654,1
1000205,200041,1,1,23,23,11,47,1,11,0.034883499,1
1000205,200041,1,1,23,23,11,47,1,11,0.044773102,1
1000205,200041,1,1,23,23,11,47,1,11,0.04451561,1
1000206,500103,1,1,23,23,11,47,0,0,0,1
1000206,500103,1,1,23,23,11,47,0,0,0,1
1000206,500103,1,1,23,23,11,47,0,0,0,1
1000206,500103,1,1,23,23,11,47,0,0,0,1
1000206,500103,1,1,23,23,11,47,0,0,0,1
1000206,500103,1,1,23,23,11,47,0,0,0,1
1000206,500103,1,1,23,23,11,47,0,0,0.001037598,1
1000206,500103,1,1,23,23,11,47,0,0,0,1
1000206,500103,1,1,23,23,11,47,0,0,0,1
1000206,500103,1,1,23,23,11,47,0,0,0,1
