N,Factor,Is Correct,Is Larger Factor,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000101,3,1,1,41,41,20,83,0,0,0.002357483,1
1000101,3,1,1,41,41,20,83,0,0,0.003030777,1
1000101,3,1,1,41,41,20,83,0,0,0.002754211,1
1000101,3,1,1,41,41,20,83,0,0,0.001993179,1
1000101,3,1,1,41,41,20,83,0,0,0.002569199,1
1000101,3,1,1,41,41,20,83,0,0,0.002342224,1
1000101,3,1,1,41,41,20,83,0,0,0.001634598,1
1000101,3,1,1,41,41,20,83,0,0,0.002035141,1
1000101,3,1,1,41,41,20,83,0,0,0.003093719,1
1000101,3,1,1,41,41,20,83,0,0,0.002323151,1
1000102,2,1,1,41,41,20,83,0,0,0.001054764,1
1000102,2,1,1,41,41,20,83,0,0,0.001983643,1
1000102,2,1,1,41,41,20,83,0,0,0,1
1000102,2,1,1,41,41,20,83,0,0,0,1
1000102,2,1,1,41,41,20,83,0,0,0,1
1000102,2,1,1,41,41,20,83,0,0,0,1
1000102,2,1,1,41,41,20,83,0,0,0,1
1000102,2,1,1,41,41,20,83,0,0,0,1
1000102,2,1,1,41,41,20,83,0,0,0.008659363,1
1000102,2,1,1,41,41,20,83,0,0,0.001558304,1
1000103,52637,1,1,41,41,20,83,9,32,0.014989853,1
1000103,52637,1,1,41,41,20,83,9,32,0.014438629,1
1000103,52637,1,1,41,41,20,83,9,32,0.013195038,1
1000103,52637,1,1,41,41,20,83,9,32,0.006034851,1
1000103,52637,1,1,41,41,20,83,9,32,0.011352539,1
1000103,52637,1,1,41,41,20,83,9,32,0.001039505,1
1000103,52637,1,1,41,41,20,83,9,32,0.024471283,1
1000103,52637,1,1,41,41,20,83,9,32,0.00103569,1
1000103,52637,1,1,41,41,20,83,9,32,0.025062561,1
1000103,52637,1,1,41,41,20,83,9,32,0.011772156,1
1000104,2,1,1,41,41,20,83,0,0,0,1
1000104,2,1,1,41,41,20,83,0,0,0,1
1000104,2,1,1,41,41,20,83,0,0,0,1
1000104,2,1,1,41,41,20,83,0,0,0,1
1000104,2,1,1,41,41,20,83,0,0,0.005561829,1
1000104,2,1,1,41,41,20,83,0,0,0.002119064,1
1000104,2,1,1,41,41,20,83,0,0,0.00103569,1
1000104,2,1,1,41,41,20,83,0,0,0,1
1000104,2,1,1,41,41,20,83,0,0,0,1
1000104,2,1,1,41,41,20,83,0,0,0,1
1000105,7195,1,1,41,41,20,83,105,333,0.034107208,1
1000105,7195,1,1,41,41,20,83,105,333,0.030420303,1
1000105,7195,1,1,41,41,20,83,105,333,0.022953033,1
1000105,7195,1,1,41,41,20,83,105,333,0.029821396,1
1000105,7195,1,1,41,41,20,83,105,333,0.030639648,1
1000105,7195,1,1,41,41,20,83,105,333,0.030790329,1
1000105,7195,1,1,41,41,20,83,105,333,0.030410767,1
1000105,7195,1,1,41,41,20,83,105,333,0.030477524,1
1000105,7195,1,1,41,41,20,83,105,333,0.032804489,1
1000105,7195,1,1,41,41,20,83,105,333,0.031845093,1
1000106,2,1,1,41,41,20,83,0,0,0.000946045,1
1000106,2,1,1,41,41,20,83,0,0,0.000995636,1
1000106,2,1,1,41,41,20,83,0,0,0,1
1000106,2,1,1,41,41,20,83,0,0,0,1
1000106,2,1,1,41,41,20,83,0,0,0,1
1000106,2,1,1,41,41,20,83,0,0,0.005373001,1
1000106,2,1,1,41,41,20,83,0,0,0.001623154,1
1000106,2,1,1,41,41,20,83,0,0,0,1
1000106,2,1,1,41,41,20,83,0,0,0.002065659,1
