N,Factor X,Factor Y,Is Correct,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000151,200235,5.002042154,0,71,71,31,135,55119,697148,28.23283768,1
1000151,200235,5.002042154,0,71,71,31,135,55119,697148,28.46022224,1
1000151,200235,5.002042154,0,71,71,31,135,55119,697148,29.10121918,1
1000151,200235,5.002042154,0,71,71,31,135,55119,697148,29.59232521,1
1000151,200235,5.002042154,0,71,71,31,135,55119,697148,29.98851967,1
1000152,125019,8,1,71,71,31,135,1,120,0.013664246,1
1000152,125019,8,1,71,71,31,135,1,120,0.003839493,1
1000152,125019,8,1,71,71,31,135,1,120,0.017416,1
1000152,125019,8,1,71,71,31,135,1,120,0.010147095,1
1000152,125019,8,1,71,71,31,135,1,120,0.005912781,1
1000153,961,1044.991818,0,71,71,31,135,2341,6614,0.257160187,1
1000153,961,1044.991818,0,71,71,31,135,2341,6614,0.247612,1
1000153,961,1044.991818,0,71,71,31,135,2341,6614,0.253795624,1
1000153,961,1044.991818,0,71,71,31,135,2341,6614,0.287752152,1
1000153,961,1044.991818,0,71,71,31,135,2341,6614,0.235462189,1
1000154,500077,2,1,71,71,31,135,1,171,0.027355194,1
1000154,500077,2,1,71,71,31,135,1,171,0.022521973,1
1000154,500077,2,1,71,71,31,135,1,171,0.019565582,1
1000154,500077,2,1,71,71,31,135,1,171,0.020185471,1
1000154,500077,2,1,71,71,31,135,1,171,0.0210495,1
1000155,5,200031,1,71,71,31,135,1,311,0.054872513,1
1000155,5,200031,1,71,71,31,135,1,311,0.049880981,1
1000155,5,200031,1,71,71,31,135,1,311,0.04372406,1
1000155,5,200031,1,71,71,31,135,1,311,0.050058365,1
1000155,5,200031,1,71,71,31,135,1,311,0.056844711,1
1000156,500078,2,1,71,71,31,135,1,119,0.008424759,1
1000156,500078,2,1,71,71,31,135,1,119,0.014665604,1
1000156,500078,2,1,71,71,31,135,1,119,0.014604568,1
1000156,500078,2,1,71,71,31,135,1,119,0.015628815,1
1000156,500078,2,1,71,71,31,135,1,119,0.014904022,1
1000157,47529,21.000004,0,71,71,31,135,44876,246649,7.108552933,1
1000157,47529,21.000004,0,71,71,31,135,44876,246649,7.541521072,1
1000157,47529,21.000004,0,71,71,31,135,44876,246649,8.695098877,1
1000157,47529,21.000004,0,71,71,31,135,44876,246649,8.683582306,1
1000157,47529,21.000004,0,71,71,31,135,44876,246649,8.677360535,1
1000158,500079,2,1,71,71,31,135,1,200,0.033380508,1
1000158,500079,2,1,71,71,31,135,1,200,0.040927887,1
1000158,500079,2,1,71,71,31,135,1,200,0.031406403,1
1000158,500079,2,1,71,71,31,135,1,200,0.038072586,1
1000158,500079,2,1,71,71,31,135,1,200,0.049974442,1
1000159,321,3103,0,71,71,31,135,4700,23231,0.526414871,1
1000159,321,3103,0,71,71,31,135,4700,23231,0.516721726,1
1000159,321,3103,0,71,71,31,135,4700,23231,0.471740723,1
1000159,321,3103,0,71,71,31,135,4700,23231,0.486631393,1
1000159,321,3103,0,71,71,31,135,4700,23231,0.498638153,1
1000160,125020,8,1,71,71,31,135,1,93,0.007333755,1
1000160,125020,8,1,71,71,31,135,1,93,0.00753212,1
1000160,125020,8,1,71,71,31,135,1,93,0.00841713,1
1000160,125020,8,1,71,71,31,135,1,93,0.007854462,1
1000160,125020,8,1,71,71,31,135,1,93,0.010837555,1
