N,Factor X,Factor Y,Is Correct,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000251,3,333417,1,440,440,440,803,0,0,0.029289246,1
1000251,3,333417,1,440,440,440,803,0,0,0.032133102,1
1000251,3,333417,1,440,440,440,803,0,0,0.019870758,1
1000251,3,333417,1,440,440,440,803,0,0,0.040691376,1
1000251,3,333417,1,440,440,440,803,0,0,0.017929077,1
1000251,3,333417,1,440,440,440,803,0,0,0.034845352,1
1000251,3,333417,1,440,440,440,803,0,0,0.043359756,1
1000251,3,333417,1,440,440,440,803,0,0,0.027347565,1
1000251,3,333417,1,440,440,440,803,0,0,0.031219482,1
1000251,3,333417,1,440,440,440,803,0,0,0.039819717,1
1000252,2,500126,1,440,440,440,803,0,0,0.039428711,1
1000252,2,500126,1,440,440,440,803,0,0,0.043563843,1
1000252,2,500126,1,440,440,440,803,0,0,0.041770935,1
1000252,2,500126,1,440,440,440,803,0,0,0.042921066,1
1000252,2,500126,1,440,440,440,803,0,0,0.040128708,1
1000252,2,500126,1,440,440,440,803,0,0,0.041624069,1
1000252,2,500126,1,440,440,440,803,0,0,0.04149437,1
1000252,2,500126,1,440,440,440,803,0,0,0.029420853,1
1000252,2,500126,1,440,440,440,803,0,0,0.04161644,1
1000252,2,500126,1,440,440,440,803,0,0,0.041101456,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,6.033056259,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,6.18976593,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,6.20848465,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,6.338476181,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,6.505264282,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,6.470302582,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,5.795036316,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,5.052257538,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,5.66437149,1
1000253,INFEASIBLE,INFEASIBLE,N/A,440,440,440,803,8844,170184,5.583946228,1
1000254,333418,3,1,440,440,440,803,1,279,0.04151535,1
1000254,333418,3,1,440,440,440,803,1,279,0.046648026,1
1000254,333418,3,1,440,440,440,803,1,279,0.04996109,1
1000254,333418,3,1,440,440,440,803,1,279,0.050262451,1
1000254,333418,3,1,440,440,440,803,1,279,0.041044235,1
1000254,333418,3,1,440,440,440,803,1,279,0.058992386,1
1000254,333418,3,1,440,440,440,803,1,279,0.065778732,1
1000254,333418,3,1,440,440,440,803,1,279,0.049987793,1
1000254,333418,3,1,440,440,440,803,1,279,0.035209656,1
1000254,333418,3,1,440,440,440,803,1,279,0.04809761,1
1000255,200051,5,1,440,440,440,803,0,0,0.027050018,1
1000255,200051,5,1,440,440,440,803,0,0,0.021865845,1
1000255,200051,5,1,440,440,440,803,0,0,0.034608841,1
1000255,200051,5,1,440,440,440,803,0,0,0.03213501,1
1000255,200051,5,1,440,440,440,803,0,0,0.022483826,1
1000255,200051,5,1,440,440,440,803,0,0,0.044437408,1
1000255,200051,5,1,440,440,440,803,0,0,0.033344269,1
1000255,200051,5,1,440,440,440,803,0,0,0.0520401,1
1000255,200051,5,1,440,440,440,803,0,0,0.047996521,1
1000255,200051,5,1,440,440,440,803,0,0,0.055271149,1
1000256,2,500128,1,440,440,440,803,0,0,0.05080986,1
1000256,2,500128,1,440,440,440,803,0,0,0.032899857,1
1000256,2,500128,1,440,440,440,803,0,0,0.048498154,1
1000256,2,500128,1,440,440,440,803,0,0,0.033224106,1
1000256,2,500128,1,440,440,440,803,0,0,0.039480209,1
1000256,2,500128,1,440,440,440,803,0,0,0.033506393,1
1000256,2,500128,1,440,440,440,803,0,0,0.041776657,1
1000256,2,500128,1,440,440,440,803,0,0,0.041690826,1
1000256,2,500128,1,440,440,440,803,0,0,0.039499283,1
1000256,2,500128,1,440,440,440,803,0,0,0.032051086,1
1000257,3,333419,1,440,440,440,803,0,0,0.033180237,1
1000257,3,333419,1,440,440,440,803,0,0,0.021169662,1
1000257,3,333419,1,440,440,440,803,0,0,0.038801193,1
1000257,3,333419,1,440,440,440,803,0,0,0.033159256,1
1000257,3,333419,1,440,440,440,803,0,0,0.031467438,1
1000257,3,333419,1,440,440,440,803,0,0,0.032278061,1
1000257,3,333419,1,440,440,440,803,0,0,0.024648666,1
1000257,3,333419,1,440,440,440,803,0,0,0.03247261,1
1000257,3,333419,1,440,440,440,803,0,0,0.032588959,1
1000257,3,333419,1,440,440,440,803,0,0,0.030836105,1
1000258,7,142894,1,440,440,440,803,73,1340,0.236684799,1
1000258,7,142894,1,440,440,440,803,73,1340,0.232803345,1
1000258,7,142894,1,440,440,440,803,73,1340,0.236803055,1
1000258,7,142894,1,440,440,440,803,73,1340,0.211442947,1
1000258,7,142894,1,440,440,440,803,73,1340,0.21023941,1
1000258,7,142894,1,440,440,440,803,73,1340,0.252901077,1
1000258,7,142894,1,440,440,440,803,73,1340,0.166337967,1
1000258,7,142894,1,440,440,440,803,73,1340,0.15946579,1
1000258,7,142894,1,440,440,440,803,73,1340,0.155677795,1
1000258,7,142894,1,440,440,440,803,73,1340,0.20945549,1
1000259,76943,13,1,440,440,440,803,7411,136339,4.278203964,1
1000259,76943,13,1,440,440,440,803,7411,136339,4.334762573,1
1000259,76943,13,1,440,440,440,803,7411,136339,4.349170685,1
1000259,76943,13,1,440,440,440,803,7411,136339,3.974414825,1
1000259,76943,13,1,440,440,440,803,7411,136339,3.952339172,1
1000259,76943,13,1,440,440,440,803,7411,136339,4.043869019,1
1000259,76943,13,1,440,440,440,803,7411,136339,3.925003052,1
1000259,76943,13,1,440,440,440,803,7411,136339,4.389478683,1
1000259,76943,13,1,440,440,440,803,7411,136339,4.350091934,1
1000259,76943,13,1,440,440,440,803,7411,136339,4.099521637,1
1000260,2,500130,1,440,440,440,803,0,0,0.025186539,1
1000260,2,500130,1,440,440,440,803,0,0,0.038808823,1
1000260,2,500130,1,440,440,440,803,0,0,0.045360565,1
1000260,2,500130,1,440,440,440,803,0,0,0.023099899,1
1000260,2,500130,1,440,440,440,803,0,0,0.041313171,1
1000260,2,500130,1,440,440,440,803,0,0,0.044813156,1
1000260,2,500130,1,440,440,440,803,0,0,0.024709702,1
1000260,2,500130,1,440,440,440,803,0,0,0.031492233,1
1000260,2,500130,1,440,440,440,803,0,0,0.032482147,1
1000260,2,500130,1,440,440,440,803,0,0,0.015623093,1
1000261,3691,271,1,440,440,440,803,7602,162280,5.971580505,1
1000261,3691,271,1,440,440,440,803,7602,162280,4.670768738,1
1000261,3691,271,1,440,440,440,803,7602,162280,5.601455688,1
1000261,3691,271,1,440,440,440,803,7602,162280,6.072702408,1
1000261,3691,271,1,440,440,440,803,7602,162280,5.878871918,1
1000261,3691,271,1,440,440,440,803,7602,162280,5.630720139,1
1000261,3691,271,1,440,440,440,803,7602,162280,5.80506897,1
1000261,3691,271,1,440,440,440,803,7602,162280,6.167585373,1
1000261,3691,271,1,440,440,440,803,7602,162280,6.188144684,1
1000261,3691,271,1,440,440,440,803,7602,162280,5.950399399,1
1000262,500131,2,1,440,440,440,803,1,431,0.081359863,1
1000262,500131,2,1,440,440,440,803,1,431,0.080539703,1
1000262,500131,2,1,440,440,440,803,1,431,0.084316254,1
1000262,500131,2,1,440,440,440,803,1,431,0.083145142,1
1000262,500131,2,1,440,440,440,803,1,431,0.086008072,1
1000262,500131,2,1,440,440,440,803,1,431,0.083564758,1
1000262,500131,2,1,440,440,440,803,1,431,0.08290863,1
1000262,500131,2,1,440,440,440,803,1,431,0.081274033,1
1000262,500131,2,1,440,440,440,803,1,431,0.093385696,1
1000262,500131,2,1,440,440,440,803,1,431,0.083875656,1
1000263,3,333421,1,440,440,440,803,0,0,0.040712357,1
1000263,3,333421,1,440,440,440,803,0,0,0.032011032,1
1000263,3,333421,1,440,440,440,803,0,0,0.030412674,1
