N,Factor X,Factor Y,Is Correct,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000101,3,333367,1,71,71,31,135,5,198,0.052303314,1
1000101,3,333367,1,71,71,31,135,5,198,0.049274445,1
1000101,3,333367,1,71,71,31,135,5,198,0.042474747,1
1000101,3,333367,1,71,71,31,135,5,198,0.066411972,1
1000101,3,333367,1,71,71,31,135,5,198,0.059480667,1
1000101,3,333367,1,71,71,31,135,5,198,0.048072815,1
1000101,3,333367,1,71,71,31,135,5,198,0.065361023,1
1000101,3,333367,1,71,71,31,135,5,198,0.063426971,1
1000101,3,333367,1,71,71,31,135,5,198,0.062839508,1
1000101,3,333367,1,71,71,31,135,5,198,0.061315537,1
1000102,500051,2,1,71,71,31,135,1,183,0.061386108,1
1000102,500051,2,1,71,71,31,135,1,183,0.062332153,1
1000102,500051,2,1,71,71,31,135,1,183,0.062479019,1
1000102,500051,2,1,71,71,31,135,1,183,0.061841965,1
1000102,500051,2,1,71,71,31,135,1,183,0.0532341,1
1000102,500051,2,1,71,71,31,135,1,183,0.062320709,1
1000102,500051,2,1,71,71,31,135,1,183,0.062595367,1
1000102,500051,2,1,71,71,31,135,1,183,0.052446365,1
1000102,500051,2,1,71,71,31,135,1,183,0.062702179,1
1000102,500051,2,1,71,71,31,135,1,183,0.036533356,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.581918716,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.493061066,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.556703568,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.535747528,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.394420624,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.366548538,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.531414032,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.463256836,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.342346191,1
1000103,52637,19,0,71,71,31,135,3248,12879,0.418233872,1
1000104,500052,2,1,71,71,31,135,39,253,0.043611526,1
1000104,500052,2,1,71,71,31,135,39,253,0.05039978,1
1000104,500052,2,1,71,71,31,135,39,253,0.050796509,1
1000104,500052,2,1,71,71,31,135,39,253,0.040445328,1
1000104,500052,2,1,71,71,31,135,39,253,0.07875061,1
1000104,500052,2,1,71,71,31,135,39,253,0.064744949,1
1000104,500052,2,1,71,71,31,135,39,253,0.104261398,1
1000104,500052,2,1,71,71,31,135,39,253,0.088117599,1
1000104,500052,2,1,71,71,31,135,39,253,0.070116043,1
1000104,500052,2,1,71,71,31,135,39,253,0.056812286,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.402336121,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.259506226,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.314754486,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.428756714,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.471818924,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.54315567,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.472513199,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.441555023,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.475206375,1
1000105,200021,5,1,71,71,31,135,3668,16164,0.467670441,1
1000106,500053,2,1,71,71,31,135,1,58,0.010007858,1
1000106,500053,2,1,71,71,31,135,1,58,0.00860405,1
1000106,500053,2,1,71,71,31,135,1,58,0.002073288,1
1000106,500053,2,1,71,71,31,135,1,58,0.009975433,1
1000106,500053,2,1,71,71,31,135,1,58,0.010183334,1
1000106,500053,2,1,71,71,31,135,1,58,0.002109528,1
1000106,500053,2,1,71,71,31,135,1,58,0.008089066,1
1000106,500053,2,1,71,71,31,135,1,58,0.002086639,1
1000106,500053,2,1,71,71,31,135,1,58,0.008096695,1
1000106,500053,2,1,71,71,31,135,1,58,0.002065659,1
1000107,3,333369,1,71,71,31,135,1,208,0.036308289,1
1000107,3,333369,1,71,71,31,135,1,208,0.031522751,1
1000107,3,333369,1,71,71,31,135,1,208,0.02404213,1
1000107,3,333369,1,71,71,31,135,1,208,0.015724182,1
1000107,3,333369,1,71,71,31,135,1,208,0.020902634,1
1000107,3,333369,1,71,71,31,135,1,208,0.03105545,1
1000107,3,333369,1,71,71,31,135,1,208,0.028734207,1
1000107,3,333369,1,71,71,31,135,1,208,0.030817032,1
1000107,3,333369,1,71,71,31,135,1,208,0.022888184,1
1000107,3,333369,1,71,71,31,135,1,208,0.03146553,1
1000108,500054,2,1,71,71,31,135,1,69,0.018438339,1
1000108,500054,2,1,71,71,31,135,1,69,0.020614624,1
1000108,500054,2,1,71,71,31,135,1,69,0.01263237,1
1000108,500054,2,1,71,71,31,135,1,69,0.020839691,1
1000108,500054,2,1,71,71,31,135,1,69,0.01049614,1
1000108,500054,2,1,71,71,31,135,1,69,0.020832062,1
1000108,500054,2,1,71,71,31,135,1,69,0.018610001,1
1000108,500054,2,1,71,71,31,135,1,69,0.012599945,1
1000108,500054,2,1,71,71,31,135,1,69,0.020109177,1
1000108,500054,2,1,71,71,31,135,1,69,0.011709213,1
1000109,66947,14.999992,0,71,71,31,135,2409,9228,0.238519669,1
1000109,66947,14.999992,0,71,71,31,135,2409,9228,0.237297058,1
1000109,66947,14.999992,0,71,71,31,135,2409,9228,0.296705246,1
1000109,66947,14.999992,0,71,71,31,135,2409,9228,0.321853638,1
