N,Factor,Is Correct,Is Larger Factor,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000000,15625,1,1,23,23,11,47,0,0,0,1
1000000,15625,1,1,23,23,11,47,0,0,0,1
1000000,15625,1,1,23,23,11,47,0,0,0,1
1000000,15625,1,1,23,23,11,47,0,0,0,1
1000000,15625,1,1,23,23,11,47,0,0,0,1
1000000,15625,1,1,23,23,11,47,0,0,0,1
1000000,15625,1,1,23,23,11,47,0,0,0,1
1000000,15625,1,1,23,23,11,47,0,0,0.001001358,1
1000000,15625,1,1,23,23,11,47,0,0,0.000240326,1
1000000,15625,1,1,23,23,11,47,0,0,0,1
1000001,76923,0,0,23,23,11,47,39,110,0.042917252,1
1000001,76923,0,0,23,23,11,47,39,110,0.060970306,1
1000001,76923,0,0,23,23,11,47,39,110,0.050224304,1
1000001,76923,0,0,23,23,11,47,39,110,0.051054001,1
1000001,76923,0,0,23,23,11,47,39,110,0.055240631,1
1000001,76923,0,0,23,23,11,47,39,110,0.05122757,1
1000001,76923,0,0,23,23,11,47,39,110,0.042253494,1
1000001,76923,0,0,23,23,11,47,39,110,0.057243347,1
1000001,76923,0,0,23,23,11,47,39,110,0.044836044,1
1000001,76923,0,0,23,23,11,47,39,110,0.035715103,1
1000002,500001,1,1,23,23,11,47,0,0,0.001020432,1
1000002,500001,1,1,23,23,11,47,0,0,0.000999451,1
1000002,500001,1,1,23,23,11,47,0,0,0.001787186,1
1000002,500001,1,1,23,23,11,47,0,0,0.001125336,1
1000002,500001,1,1,23,23,11,47,0,0,0.001008987,1
1000002,500001,1,1,23,23,11,47,0,0,0.001251221,1
1000002,500001,1,1,23,23,11,47,0,0,0.001039505,1
1000002,500001,1,1,23,23,11,47,0,0,0,1
1000002,500001,1,1,23,23,11,47,0,0,0,1
1000002,500001,1,1,23,23,11,47,0,0,0.003164291,1
1000003,111111,0,0,23,23,11,47,39,96,0.040096283,1
1000003,111111,0,0,23,23,11,47,39,96,0.040376663,1
1000003,111111,0,0,23,23,11,47,39,96,0.045930862,1
1000003,111111,0,0,23,23,11,47,39,96,0.04026413,1
1000003,111111,0,0,23,23,11,47,39,96,0.053375244,1
1000003,111111,0,0,23,23,11,47,39,96,0.046722412,1
1000003,111111,0,0,23,23,11,47,39,96,0.041236877,1
1000003,111111,0,0,23,23,11,47,39,96,0.050535202,1
1000003,111111,0,0,23,23,11,47,39,96,0.048597336,1
1000003,111111,0,0,23,23,11,47,39,96,0.053369522,1
1000004,500002,1,1,23,23,11,47,0,0,0,1
1000004,500002,1,1,23,23,11,47,0,0,0,1
1000004,500002,1,1,23,23,11,47,0,0,0,1
1000004,500002,1,1,23,23,11,47,0,0,0,1
1000004,500002,1,1,23,23,11,47,0,0,0,1
1000004,500002,1,1,23,23,11,47,0,0,0,1
1000004,500002,1,1,23,23,11,47,0,0,0,1
1000004,500002,1,1,23,23,11,47,0,0,0,1
1000004,500002,1,1,23,23,11,47,0,0,0,1
1000004,500002,1,1,23,23,11,47,0,0,0.000953674,1
1000005,333335,1,1,23,23,11,47,0,0,0,1
1000005,333335,1,1,23,23,11,47,0,0,0,1
1000005,333335,1,1,23,23,11,47,0,0,0,1
1000005,333335,1,1,23,23,11,47,0,0,0,1
1000005,333335,1,1,23,23,11,47,0,0,0,1
1000005,333335,1,1,23,23,11,47,0,0,0,1
1000005,333335,1,1,23,23,11,47,0,0,0.016180038,1
1000005,333335,1,1,23,23,11,47,0,0,0,1
1000005,333335,1,1,23,23,11,47,0,0,0,1
1000005,333335,1,1,23,23,11,47,0,0,0,1
1000006,500003,1,1,23,23,11,47,0,0,0.011058807,1
1000006,500003,1,1,23,23,11,47,0,0,0,1
1000006,500003,1,1,23,23,11,47,0,0,0,1
1000006,500003,1,1,23,23,11,47,0,0,0,1
1000006,500003,1,1,23,23,11,47,0,0,0,1
1000006,500003,1,1,23,23,11,47,0,0,0,1
1000006,500003,1,1,23,23,11,47,0,0,0,1
1000006,500003,1,1,23,23,11,47,0,0,0,1
1000006,500003,1,1,23,23,11,47,0,0,0,1
1000006,500003,1,1,23,23,11,47,0,0,0.01568985,1
1000007,3861,0,0,23,23,11,47,87,231,0.049503326,1
1000007,3861,0,0,23,23,11,47,87,231,0.044591904,1
1000007,3861,0,0,23,23,11,47,87,231,0.047847748,1
1000007,3861,0,0,23,23,11,47,87,231,0.060422897,1
1000007,3861,0,0,23,23,11,47,87,231,0.056600571,1
1000007,3861,0,0,23,23,11,47,87,231,0.055055618,1
1000007,3861,0,0,23,23,11,47,87,231,0.054016113,1
1000007,3861,0,0,23,23,11,47,87,231,0.059614182,1
1000007,3861,0,0,23,23,11,47,87,231,0.053291321,1
1000007,3861,0,0,23,23,11,47,87,231,0.047842026,1
1000008,500004,1,1,23,23,11,47,0,0,0.002231598,1
1000008,500004,1,1,23,23,11,47,0,0,0.001060486,1
1000008,500004,1,1,23,23,11,47,0,0,0,1
1000008,500004,1,1,23,23,11,47,0,0,0,1
1000008,500004,1,1,23,23,11,47,0,0,0,1
1000008,500004,1,1,23,23,11,47,0,0,0.007369995,1
