N,Factor X,Factor Y,Is Correct,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000000,62500,16,1,71,71,31,135,1,188,0.022760391,1
1000000,62500,16,1,71,71,31,135,1,188,0.018241882,1
1000000,62500,16,1,71,71,31,135,1,188,0.01455307,1
1000000,62500,16,1,71,71,31,135,1,188,0.038858414,1
1000000,62500,16,1,71,71,31,135,1,188,0.024902344,1
1000000,62500,16,1,71,71,31,135,1,188,0.018968582,1
1000000,62500,16,1,71,71,31,135,1,188,0.032320023,1
1000000,62500,16,1,71,71,31,135,1,188,0.017429352,1
1000000,62500,16,1,71,71,31,135,1,188,0.035562515,1
1000000,62500,16,1,71,71,31,135,1,188,0.020980835,1
1000001,2045,493,0,71,71,31,135,62382,346161,19.19387627,1
1000001,2045,493,0,71,71,31,135,62382,346161,20.97438622,1
1000001,2045,493,0,71,71,31,135,62382,346161,20.67955589,1
1000001,2045,493,0,71,71,31,135,62382,346161,19.07542801,1
1000001,2045,493,0,71,71,31,135,62382,346161,21.11275101,1
1000001,2045,493,0,71,71,31,135,62382,346161,20.70622063,1
1000001,2045,493,0,71,71,31,135,62382,346161,19.71526718,1
1000001,2045,493,0,71,71,31,135,62382,346161,19.71054459,1
1000001,2045,493,0,71,71,31,135,62382,346161,18.8930645,1
1000001,2045,493,0,71,71,31,135,62382,346161,22.38340569,1
1000002,500001,2,1,71,71,31,135,1,108,0.018577576,1
1000002,500001,2,1,71,71,31,135,1,108,0.01219368,1
1000002,500001,2,1,71,71,31,135,1,108,0.021327972,1
1000002,500001,2,1,71,71,31,135,1,108,0.017337799,1
1000002,500001,2,1,71,71,31,135,1,108,0.012737274,1
1000002,500001,2,1,71,71,31,135,1,108,0.020872116,1
1000002,500001,2,1,71,71,31,135,1,108,0.020299912,1
1000002,500001,2,1,71,71,31,135,1,108,0.020191193,1
1000002,500001,2,1,71,71,31,135,1,108,0.01010704,1
1000002,500001,2,1,71,71,31,135,1,108,0.020227432,1
1000003,30179,33,0,71,71,31,135,769,2459,0.135128021,1
1000003,30179,33,0,71,71,31,135,769,2459,0.132249832,1
1000003,30179,33,0,71,71,31,135,769,2459,0.124403,1
1000003,30179,33,0,71,71,31,135,769,2459,0.132230759,1
1000003,30179,33,0,71,71,31,135,769,2459,0.134460449,1
1000003,30179,33,0,71,71,31,135,769,2459,0.136165619,1
1000003,30179,33,0,71,71,31,135,769,2459,0.119960785,1
1000003,30179,33,0,71,71,31,135,769,2459,0.122919083,1
1000003,30179,33,0,71,71,31,135,769,2459,0.115850449,1
1000003,30179,33,0,71,71,31,135,769,2459,0.115282059,1
1000004,500002,2,1,71,71,31,135,1,132,0.03326416,1
1000004,500002,2,1,71,71,31,135,1,132,0.031110764,1
1000004,500002,2,1,71,71,31,135,1,132,0.039381027,1
1000004,500002,2,1,71,71,31,135,1,132,0.033420563,1
1000004,500002,2,1,71,71,31,135,1,132,0.031236649,1
1000004,500002,2,1,71,71,31,135,1,132,0.039478302,1
1000004,500002,2,1,71,71,31,135,1,132,0.033447266,1
1000004,500002,2,1,71,71,31,135,1,132,0.031448364,1
1000004,500002,2,1,71,71,31,135,1,132,0.031337738,1
1000004,500002,2,1,71,71,31,135,1,132,0.04161644,1
1000005,333335,3,1,71,71,31,135,859,4391,0.150629044,1
1000005,333335,3,1,71,71,31,135,859,4391,0.147573471,1
1000005,333335,3,1,71,71,31,135,859,4391,0.191839218,1
1000005,333335,3,1,71,71,31,135,859,4391,0.134799957,1
1000005,333335,3,1,71,71,31,135,859,4391,0.163885117,1
1000005,333335,3,1,71,71,31,135,859,4391,0.154399872,1
1000005,333335,3,1,71,71,31,135,859,4391,0.16592598,1
1000005,333335,3,1,71,71,31,135,859,4391,0.17540741,1
1000005,333335,3,1,71,71,31,135,859,4391,0.185323715,1
1000005,333335,3,1,71,71,31,135,859,4391,0.186706543,1
1000006,500003,2,1,71,71,31,135,0,29,0.002243042,1
1000006,500003,2,1,71,71,31,135,0,29,0.010250092,1
1000006,500003,2,1,71,71,31,135,0,29,0,1
1000006,500003,2,1,71,71,31,135,0,29,0.010490417,1
1000006,500003,2,1,71,71,31,135,0,29,0,1
1000006,500003,2,1,71,71,31,135,0,29,0.010351181,1
1000006,500003,2,1,71,71,31,135,0,29,0,1
1000006,500003,2,1,71,71,31,135,0,29,0.00958252,1
1000006,500003,2,1,71,71,31,135,0,29,0,1
1000006,500003,2,1,71,71,31,135,0,29,0.011230469,1
1000007,34483,29,1,71,71,31,135,15916,79231,2.696569443,1
1000007,34483,29,1,71,71,31,135,15916,79231,2.730524063,1
1000007,34483,29,1,71,71,31,135,15916,79231,2.844667435,1
1000007,34483,29,1,71,71,31,135,15916,79231,2.762260437,1
1000007,34483,29,1,71,71,31,135,15916,79231,2.630434036,1
1000007,34483,29,1,71,71,31,135,15916,79231,2.7701931,1
1000007,34483,29,1,71,71,31,135,15916,79231,2.660463333,1
1000007,34483,29,1,71,71,31,135,15916,79231,2.432607651,1
1000007,34483,29,1,71,71,31,135,15916,79231,2.056072235,1
1000007,34483,29,1,71,71,31,135,15916,79231,1.981060028,1
1000008,500004,2,1,71,71,31,135,1,107,0.00761795,1
1000008,500004,2,1,71,71,31,135,1,107,0.006280899,1
