N,Factor X,Factor Y,Is Correct,Num Vars,Num Integer Vars,Num Binary Vars,Num Constraints,Node Count,Simplex Iterations Count,Runtime,Is MIP
1000201,43487,23,1,71,71,31,135,15245,62732,2.184452057,1
1000201,43487,23,1,71,71,31,135,15245,62732,1.932909012,1
1000201,43487,23,1,71,71,31,135,15245,62732,1.600179672,1
1000201,43487,23,1,71,71,31,135,15245,62732,2.25202179,1
1000201,43487,23,1,71,71,31,135,15245,62732,2.618587494,1
1000202,500101,2,1,71,71,31,135,1,109,0.016731262,1
1000202,500101,2,1,71,71,31,135,1,109,0.015777588,1
1000202,500101,2,1,71,71,31,135,1,109,0.014554977,1
1000202,500101,2,1,71,71,31,135,1,109,0.015678406,1
1000202,500101,2,1,71,71,31,135,1,109,0.004686356,1
1000203,333401,3,1,71,71,31,135,187,1047,0.097848892,1
1000203,333401,3,1,71,71,31,135,187,1047,0.09903717,1
1000203,333401,3,1,71,71,31,135,187,1047,0.09819603,1
1000203,333401,3,1,71,71,31,135,187,1047,0.107120514,1
1000203,333401,3,1,71,71,31,135,187,1047,0.084474564,1
1000204,500102,2,1,71,71,31,135,1,113,0.013036728,1
1000204,500102,2,1,71,71,31,135,1,113,0.010068893,1
1000204,500102,2,1,71,71,31,135,1,113,0.017333984,1
1000204,500102,2,1,71,71,31,135,1,113,0.013996124,1
1000204,500102,2,1,71,71,31,135,1,113,0.014844894,1
1000205,200041,5,0,71,71,31,135,127,635,0.1021595,1
1000205,200041,5,0,71,71,31,135,127,635,0.108070374,1
1000205,200041,5,0,71,71,31,135,127,635,0.090242386,1
1000205,200041,5,0,71,71,31,135,127,635,0.07677269,1
1000205,200041,5,0,71,71,31,135,127,635,0.084892273,1
1000206,2,500103,1,71,71,31,135,1,296,0.043226242,1
1000206,2,500103,1,71,71,31,135,1,296,0.058561325,1
1000206,2,500103,1,71,71,31,135,1,296,0.040737152,1
1000206,2,500103,1,71,71,31,135,1,296,0.027587891,1
1000206,2,500103,1,71,71,31,135,1,296,0.027616501,1
1000207,611,1637,1,71,71,31,135,6819,30377,0.618864059,1
1000207,611,1637,1,71,71,31,135,6819,30377,0.882087708,1
1000207,611,1637,1,71,71,31,135,6819,30377,0.915382385,1
1000207,611,1637,1,71,71,31,135,6819,30377,0.917913437,1
1000207,611,1637,1,71,71,31,135,6819,30377,0.821456909,1
1000208,250052,4,1,71,71,31,135,0,29,0.005874634,1
1000208,250052,4,1,71,71,31,135,0,29,0.002002716,1
1000208,250052,4,1,71,71,31,135,0,29,0.006875992,1
1000208,250052,4,1,71,71,31,135,0,29,0.004304886,1
1000208,250052,4,1,71,71,31,135,0,29,0.003013611,1
1000209,333403,3,1,71,71,31,135,399,2104,0.116277695,1
1000209,333403,3,1,71,71,31,135,399,2104,0.112815857,1
1000209,333403,3,1,71,71,31,135,399,2104,0.096954346,1
1000209,333403,3,1,71,71,31,135,399,2104,0.101362228,1
1000209,333403,3,1,71,71,31,135,399,2104,0.131847382,1
1000210,500105,2,1,71,71,31,135,0,29,0,1
1000210,500105,2,1,71,71,31,135,0,29,0.018478394,1
1000210,500105,2,1,71,71,31,135,0,29,0.002010345,1
1000210,500105,2,1,71,71,31,135,0,29,0,1
1000210,500105,2,1,71,71,31,135,0,29,0.011922836,1
1000211,203319,5,0,71,71,31,135,59632,281103,23.0318737,1
1000211,203319,5,0,71,71,31,135,59632,281103,22.59094238,1
1000211,203319,5,0,71,71,31,135,59632,281103,17.14347076,1
1000211,203319,5,0,71,71,31,135,59632,281103,14.66523361,1
1000211,203319,5,0,71,71,31,135,59632,281103,15.55240631,1
1000212,250053,4,1,71,71,31,135,1,61,0.016000748,1
1000212,250053,4,1,71,71,31,135,1,61,0.015245438,1
1000212,250053,4,1,71,71,31,135,1,61,0.021656036,1
1000212,250053,4,1,71,71,31,135,1,61,0.023097992,1
1000212,250053,4,1,71,71,31,135,1,61,0.019594193,1
1000213,200861,5.000007997,0,71,71,31,135,105,624,0.067667007,1
1000213,200861,5.000007997,0,71,71,31,135,105,624,0.061664581,1
1000213,200861,5.000007997,0,71,71,31,135,105,624,0.051591873,1
1000213,200861,5.000007997,0,71,71,31,135,105,624,0.063516617,1
1000213,200861,5.000007997,0,71,71,31,135,105,624,0.05900383,1
1000214,500107,2,1,71,71,31,135,9,368,0.043207169,1
1000214,500107,2,1,71,71,31,135,9,368,0.044496536,1
1000214,500107,2,1,71,71,31,135,9,368,0.042495728,1
1000214,500107,2,1,71,71,31,135,9,368,0.04703331,1
1000214,500107,2,1,71,71,31,135,9,368,0.043109894,1
1000215,5,200043,1,71,71,31,135,5,292,0.058286667,1
1000215,5,200043,1,71,71,31,135,5,292,0.05463028,1
1000215,5,200043,1,71,71,31,135,5,292,0.06530571,1
1000215,5,200043,1,71,71,31,135,5,292,0.061094284,1
1000215,5,200043,1,71,71,31,135,5,292,0.059394836,1
1000216,500108,2,1,71,71,31,135,1,67,0.005001068,1
1000216,500108,2,1,71,71,31,135,1,67,0.008037567,1
1000216,500108,2,1,71,71,31,135,1,67,0.004999161,1
1000216,500108,2,1,71,71,31,135,1,67,0.00802803,1
1000216,500108,2,1,71,71,31,135,1,67,0.006435394,1
1000217,52643,19,1,71,71,31,135,295,1935,0.084539413,1
1000217,52643,19,1,71,71,31,135,295,1935,0.130399704,1
1000217,52643,19,1,71,71,31,135,295,1935,0.095287323,1
1000217,52643,19,1,71,71,31,135,295,1935,0.08089447,1
1000217,52643,19,1,71,71,31,135,295,1935,0.093309402,1
1000218,500109,2,1,71,71,31,135,1,53,0.005197525,1
1000218,500109,2,1,71,71,31,135,1,53,0.005002975,1
1000218,500109,2,1,71,71,31,135,1,53,0.005996704,1
1000218,500109,2,1,71,71,31,135,1,53,0.005004883,1
1000218,500109,2,1,71,71,31,135,1,53,0.00528717,1
1000219,90929,11,0,71,71,31,135,1072,5551,0.138902664,1
1000219,90929,11,0,71,71,31,135,1072,5551,0.129306793,1
1000219,90929,11,0,71,71,31,135,1072,5551,0.137628555,1
1000219,90929,11,0,71,71,31,135,1072,5551,0.169883728,1
1000219,90929,11,0,71,71,31,135,1072,5551,0.135641098,1
1000220,3847,260,1,71,71,31,135,511,2551,0.091157913,1
1000220,3847,260,1,71,71,31,135,511,2551,0.122385025,1
1000220,3847,260,1,71,71,31,135,511,2551,0.099664688,1
1000220,3847,260,1,71,71,31,135,511,2551,0.100708008,1
1000220,3847,260,1,71,71,31,135,511,2551,0.127136231,1
